,Winners,Losers
0,nicholas moffitt,terrence miller
1,grant manley,paul abarca
2,bodhi robinson,michael davidson
3,dylan smeigh,ethan yi
4,justin tse,riley hulbert
5,andy zhang,keaton gill
6,harrison frazier,neil kimball
7,sam hough,jonathan ramirez
8,elliot gantner,lucas xing
9,tyler mathews,michael meal
10,ian robb,jack saunders
11,jmz musser,[76] atomos billings
12,raymond liu,matthew rhee
13,joey gaffney,ben dobberstein
14,joshua sanstrum,dan hugar
15,connor pedersen,mauricio martinez
16,alex kim,jim her
17,rowan stavenow,emmet hurley
18,azul garcia griego,michael natto
19,velen ricci,ryan mefford
20,eric brooks,brian myers
21,brandon salazar,matthew stratford
22,kevin clemente,jac carter
23,hector ibarra,hale obernolte
24,jared grimes,matthew connors
25,hasan kunukcu,anthony zheng
26,avery phimmasehn,james simms
27,gerald chavez,tanner mason
28,jordan dumlao,daiki kumasegawa
29,jose villarreal,devin gude
30,daniel evans,devin ardissono
31,david gade,tyler mccutchan
32,braiden elfert,ray chen
33,justin teng,chris brewer
34,lucas thiele,pedro estrada
35,beau fleetwood,gibson archer-tang
36,danny prather,philip nguyen
37,tony vuong,rain keuma
38,austin drake,johnson li
39,joseph chigbrow,jonathyn kramer
40,nic stewart,harrison dollar
41,sean burns,benjamin chang
42,mario martinez,christian galvan
43,bennie pell,nicolas galli
44,joseph rodriguez,kolton munson
45,andrew scott,christopher osborn
46,simon copenhaver,aaron santos
47,xavier clark,cole rosario
48,alex green,nick morin
49,john mostowy,charlie kerr
50,trenton staley,franxl zaragoza
51,derek hu,eric ridgeway
52,joaquín rico,bradley ireland
53,ross cawthon,gabriel tinio
54,nicolas gist,nick sheffer
55,chad ross,tyler herrmann
56,josh fernando,caitlin white
57,brandon baughn,dominic viola
58,bradley sumoge,isaiah bradner
59,yosha riley,nicholas moffitt
60,bodhi robinson,jon eng
61,stefan tabaco,elliot gantner
62,makani tran,vance kelley
63,andy zhang,dylan smeigh
64,sam hough,grant manley
65,justin tse,jmz musser
66,terrence miller,ian robb
67,tyler mathews,raymond liu
68,azul garcia griego,velen ricci
69,jared grimes,eric brooks
70,connor pedersen,alex kim
71,hector ibarra,nic stewart
72,calvin connor,german herrera
73,beau fleetwood,ethan yi
74,derek hu,jonathan ramirez
75,iyla sutherland,arjun khadse
76,ross cawthon,lucas thiele
77,xavier clark,hunter slack
78,jordan dumlao,sean burns
79,joseph rodriguez,joaquín rico
80,keaton gill,bennie pell
81,daniel evans,blake zeller
82,josh fernando,joshua sanstrum
83,riley hulbert,john mostowy
84,lucas xing,alex green
85,nicolas gist,david gade
86,michael davidson,austin drake
87,mario martinez,gerald chavez
88,justin teng,joseph chigbrow
89,simon copenhaver,braiden elfert
90,stephen lowe,grant shen
91,matthew rhee,ben dobberstein
92,[76] atomos billings,michael diaz
93,erik arts,christopher osborn
