,Winners,Losers
0,grant shen,ryan miller
1,alex krekeler,gustavo wada
2,aaron santos,caleb rogerson
3,ross cawthon,david zheng
4,isaiah bradner,vincent d'arcy
5,vinícius fernandez,paul margold
6,brooke fail,luke morsa
7,riyad mechel,omar taha
8,andres david torres,kenneth mauder
9,alex schemanske,juan escalera
10,julio santos de leon,caleb gedemer
11,phi nguyen,graham kovach
12,dylan lefavour,brendan cevasco
13,daniel fappiano,joe turrentine
14,ryan antonucci,blake eure
15,jacob stillwell,greg kerien
16,grant hays,chris diller
17,richard mccombs,michael zheng
18,parker lish,brandon baughn
19,benjamin mceachen,tyler mathews
20,nathan brower,josh chevigny
21,jason burch,andrew kennett
22,michael pramawat,andrew mahone
23,makani tran,christian labella
24,jose marzan,darin o'meara
25,hector ibarra,connor chiappetta
26,russell monteiro,elizabeth willet
27,justin doney,elliot miller
28,sammy allen,orlando karam
29,felipe luna,harrison frazier
30,neo erlandsson,justin brothers
31,travis beckwith,nicholas hughes
32,dean nezam,grafton roll
33,peter kica,steve zhang
34,dillon courtney,[static 2] michele lesage
35,robert weidman,henry chao
36,nathan stratford,hector fuentes
37,zach robinson,liam conant
38,jerrick gumila,andrew padron
39,samuel liggett,jake pilch
40,raymond long,alexander engquist
41,gabe shumway,hal johnston
42,adam kalamat,dino sukalic
43,arjun khadse,richard stackhouse
44,andrew antony,tyler perry
45,drew allen,jack bray
46,andrew wu,alex hill
47,bryan mcdaniel,dean legge
48,evan campbell,mikela gassert
49,michael zele,peyton bauermeister
50,corey dancause,lucas richardson
51,brian garcia,tyler unruh
52,brandon salazar,anthony zheng
53,axel alvarez,brendan gleason
54,ryan tongue,pablo marquez
55,jack wong,ryan mooney
56,john wanggaard,lucas thiele
57,james gillespie,matthew brown
58,nicholas moffitt,gabriel smart
59,rafal gladysz,zach elliott
60,zach laska,nathan maizels
61,tyron li,casey katsouris
62,ryan sabelhaus,jacob smith
63,jon eng,sackett brehmer
64,jake gearhart,jonathan herrera
65,meng-yu wang,hunter butler
66,michael morton,solomon shurge
67,tienthomas pham,tiger hickman
68,aaron rozbicki,steven hollingsworth
69,daniel rao,ely greenfeld
70,josh allen,michael laundrie
71,joshua everly,melanie stamm
72,aidan khus,phillip lineberry
73,sawyer melban,dre alderette
74,azul garcia griego,nairobi gammage
75,devin hofknecht,john melissari iii
76,austin sherman,colin calvert
77,jordi paredes,jeff opp
78,velen ricci,[static 1] david luo
79,jay cristiano,james washer
80,anthony salomone,alexander vences
81,ihana mazezka,olive battaglia
82,michael davidson,charles platel
83,maxwell johnson,matt bacnis
84,miguel hernandez,matthew holland
85,regan retzloff,james hart
86,calvin connor,aaron santos
87,grant shen,xander pero
88,andres david torres,julio santos de leon
89,jacob stillwell,phi nguyen
90,alex schemanske,brooke fail
91,dylan lefavour,daniel fappiano
92,grant hays,richard mccombs
93,gustavo wada,prin basser
94,caleb rogerson,benjamin mceachen
95,jose marzan,ryan miller
96,jason burch,parker lish
97,nathan brower,makani tran
98,dillon courtney,travis beckwith
99,russell monteiro,peter kica
100,paul margold,hector ibarra
101,raymond long,dean nezam
102,justin doney,sammy allen
103,jerrick gumila,nathan stratford
104,adam kalamat,vincent d'arcy
105,neo erlandsson,zach robinson
106,samuel liggett,andrew martin
107,blake eure,sawyer melban
108,greg kerien,daniel rao
109,ryan sabelhaus,joshua everly
110,vaughn swae,jack wong
111,graham kovach,andrew wu
112,brian garcia,nathan ginsburg
113,nicholas moffitt,kenneth mauder
114,austin sherman,michael morton
115,aidan khus,arjun khadse
116,azul garcia griego,allan xu
117,luke morsa,axel alvarez
118,tyron li,caleb gedemer
119,joe turrentine,brendan cevasco
120,rafal gladysz,zach laska
121,jordi paredes,jon eng
122,brandon salazar,drew allen
123,aaron rozbicki,alex smetana
124,ryan tongue,tienthomas pham
125,chris diller,omar taha
126,ihana mazezka,juan escalera
127,meng-yu wang,andrew antony
128,james gillespie,michael zele
129,michael davidson,jonathan valenzuela
130,jay cristiano,john wanggaard
131,evan campbell,devin hofknecht
132,andrew kennett,michael bergerac
133,morgan abreu,dan hugar
134,christian chase,jac carter
135,christian labella,dj alleyne
136,brandon baughn,anthony bruno
137,matthew padget,hector fuentes
138,henry chao,elizabeth willet
139,aneil saini,grafton roll
140,maxwell johnson,ming weng
141,jake pilch,andrew padron
142,case bennink,jerry han
143,nick flores,alexander engquist
144,orlando karam,zachary lazaroff
145,justin brothers,mike hines
146,[static 2] michele lesage,rick wilt
147,steve zhang,matt bacnis
148,alex cruz,ryan ginsburg
149,hal johnston,nathon trimberger
150,connor chiappetta,liam conant
151,hunter butler,andre maldonado
152,charles platel,lucas thiele
153,sackett brehmer,lucas richardson
154,victor garcía,jeff opp
155,richard stackhouse,michael laundrie
156,sebastian ardila,bryan lindley
157,alex hill,matthew brown
158,olive battaglia,jack bray
159,dre alderette,evelyn estridge
160,tyler unruh,carlos medina astete
161,solomon shurge,anthony zheng
162,james hart,gabriel cruz
163,john melissari iii,nathan maizels
164,casey katsouris,[static 1] david luo
165,peyton bauermeister,ryan mooney
166,brendan gleason,jackson horn
167,gabriel smart,james washer
168,pablo marquez,alexander vences
169,jacob smith,dean legge
170,zach elliott,tiger hickman
171,jonathan herrera,colin calvert
172,phillip lineberry,melanie stamm
173,nairobi gammage,matthew holland
174,andres david torres,ross cawthon
175,dylan lefavour,calvin connor
176,jacob stillwell,grant hays
177,grant shen,alex schemanske
178,gustavo wada,caleb rogerson
179,vinícius fernandez,vincent owen
180,jason burch,nathan brower
181,riyad mechel,alex krekeler
182,dillon courtney,samuel liggett
183,raymond long,adam kalamat
184,russell monteiro,neo erlandsson
185,paul margold,justin doney
186,jerrick gumila,ryan antonucci
187,daniel fappiano,ryan tongue
188,luke morsa,[vip] luis sanabria
189,aidan khus,azul garcia griego
190,jordi paredes,eric smith
191,julio santos de leon,ryan sabelhaus
192,austin sherman,edwin cohetero
193,nicholas moffitt,chris diller
194,joe turrentine,ihana mazezka
195,jay cristiano,evan campbell
196,aaron rozbicki,rafal gladysz
197,meng-yu wang,blake eure
198,vaughn swae,brandon salazar
199,greg kerien,stephen hunter
200,makani tran,christian chase
201,michael meal,mike fouchet
202,michael pramawat,morgan abreu
203,david zheng,prin basser
204,parker lish,benjamin mceachen
205,conner hurst,gabe shumway
206,felipe luna,daniel abramovici
207,brandon baughn,robert weidman
208,ryan miller,richard mccombs
209,sammy allen,henry chao
210,matthew padget,hal johnston
211,zach robinson,miguel hernandez
